gsis_id,pfr_id,name,merge_name,birthdate,college,yamplayer_id
00-0032243,MarpAl00,Ali Marpet,ali marpet,1993-04-17,Hobart,YAMP_00a64ff6882e
00-0026151,McKeLe99,Leodis McKelvin,leodis mckelvin,1985-09-01,Troy,YAMP_00a97314e781
POW237306,PoweDa00,Darnell Powell,darnell powell,1954-05-31,Tennessee-Chattanooga,YAMP_00aa2fce1476
00-0027683,WaltJ.20,J.D. Walton,j.d. walton,1987-03-24,Baylor; Arizona State,YAMP_00ac0d9035c0
00-0015927,SuttMi22,Mike Sutton,mike sutton,1975-04-25,LSU,YAMP_00ac9f29ac79
SCO099035,ScotRo20,Ronald Scott,ronald scott,1963-03-03,Southern,YAMP_00af3bb9f195
00-0038102,PickKe00,Kenny Pickett,kenny pickett,1998-06-06,Pittsburgh,YAMP_00b2d477e754
00-0006299,GrazTo00,Tony Graziani,tony graziani,1973-12-23,Oregon,YAMP_00b9f6e56a15
00-0036126,NursJo00,Josh Nurse,josh nurse,1996-07-17,Utah,YAMP_00bde04ce9a6
00-0021944,WillTo21,Todd Williams,todd williams,1978-09-04,Florida State,YAMP_00bf9bc72e67
QUI055372,QuicGr20,Greg Quick,greg quick,1964-04-26,Catawba College,YAMP_00c15e0e666a
00-0020761,HickBr20,Brandon Hicks,brandon hicks,1977-11-17,Bowling Green,YAMP_00c1936c7c46
00-0016772,TyneSc20,Scott Tyner,scott tyner,1972-04-11,Oklahoma State; Trinity Valley CC,YAMP_00c1b2df3ab7
,BensMa00,Malik Benson,malik benson,,Oregon,YAMP_00c39f56efbb
00-0001095,BennAn20,Antoine Bennett,antoine bennett,1967-11-29,Florida A&M,YAMP_00c3e352304b
00-0007341,HerrJe20,Jeff Herrod,jeff herrod,1966-07-29,Mississippi,YAMP_00c443555c35
00-0029932,McClAn02,Anthony McCloud,anthony mccloud,1989-08-06,Florida State,YAMP_00c685461b0c
00-0029601,BostBr00,Brandon Bostick,brandon bostick,1989-05-03,Newberry,YAMP_00c9f50fc38d
00-0015083,SmitAl01,Al Smith,al smith,1964-11-26,Utah State; Pomona State,YAMP_00ca8ccf9c0b
00-0028986,KeenCa00,Case Keenum,case keenum,1988-02-17,Houston,YAMP_00ce6d096e6d
00-0029478,BrooJo00,Jourdan Brooks,jourdan brooks,1988-08-22,Morgan State,YAMP_00cf0d24eb78
00-0000581,bahrxmat01,Matt Bahr,matt bahr,1956-07-06,Penn State,YAMP_00cf55b60f9d
00-0037396,FrenWe00,Wesley French,wesley french,1996-11-30,Western Michigan,YAMP_00d0e3ac5dd1
NUG664464,NugeTe20,Terry Nugent,terry nugent,1961-12-05,Colorado State,YAMP_00d1bcf1cc8f
00-0015781,StouOm20,Omar Stoutmire,omar stoutmire,1974-07-09,Fresno State,YAMP_00d1d9bbfb47
00-0037810,AndeTr00,Troy Andersen,troy andersen,1999-04-23,Montana State,YAMP_00d23e6354a3
00-0018002,WilsBo21,Bobby Wilson,bobby wilson,1968-03-04,Michigan State; Northeast Oklahoma,YAMP_00d738027bfa
00-0037454,EstrDr00,Drew Estrada,drew estrada,1997-07-24,Baylor; Dartmouth,YAMP_00dd7e575841
00-0014208,RutlJe00,Jeff Rutledge,jeff rutledge,1957-01-22,Alabama,YAMP_00de7efa5148
00-0004601,DulaMi00,Mike Dulaney,mike dulaney,1970-09-09,North Carolina,YAMP_00e059c7fafc
00-0006678,HallRo00,Ron Hall,ron hall,1964-03-15,Hawaii; Pomona State,YAMP_00e44950e0fc
00-0030233,GrahRa00,Ray Graham,ray graham,1990-09-18,Pittsburgh,YAMP_00e510f187c2
WHI821216,WhitMi23,Mike Whitwell,mike whitwell,1958-11-14,Texas A&M,YAMP_00e6e15038e1
BAK622923,,Stan Baker,stan baker,1962-01-26,Olivet College,YAMP_00eae30f350c
00-0013715,,Tim Ridder,tim ridder,1976-12-17,Notre Dame,YAMP_00ef605aee7d
MOO645960,MoorRo20,Robert Moore,robert moore,1964-08-15,Northwestern State (LA),YAMP_00f142235894
00-0029183,NoblDa00,Danny Noble,danny noble,1989-03-30,Toledo,YAMP_00f3ce1d543a
GRU738296,GrupBo20,Bob Grupp,bob grupp,1955-05-08,Duke,YAMP_00f466094811
,,Paul Parker,paul parker,,Oklahoma,YAMP_00f7f3b53b2b
00-0033193,SimsBl01,Blake Sims,blake sims,1992-01-03,Alabama,YAMP_00f8a513d76b
00-0022905,HadnRe20,Rex Hadnot,rex hadnot,1982-01-28,Houston,YAMP_00fa9c05211a
HAR047333,HardMi21,Mike Harden,mike harden,1958-02-16,Michigan,YAMP_00fc6ae458dd
,,Pat Foster,pat foster,,Montana,YAMP_00fcefaae58d
00-0029275,GreeLa00,Ladarius Green,ladarius green,1990-05-29,Louisiana-Lafayette,YAMP_00fd4a792f7e
JOH588817,JohnRa00,Randy Johnson,randy johnson,1944-06-17,Texas A&M University-Kingsville,YAMP_00fdc77d0f60
00-0030741,NixxRo01,Roosevelt Nix,roosevelt nix,1992-03-30,Kent State,YAMP_0100c7901b21
00-0020110,BellJa21,Jason Bell,jason bell,1978-04-01,UCLA,YAMP_0106bdc82b72
00-0019548,JennBr00,Brian Jennings,brian jennings,1976-10-14,Arizona State,YAMP_010fca8ea965
00-0031702,FuaxAl00,Alani Fua,alani fua,1992-01-01,BYU,YAMP_0110c77dda90
00-0022827,NavaJo00,John Navarre,john navarre,1980-09-09,Michigan,YAMP_0114443bf8b3
00-0039696,AndeEv00,Evan Anderson,evan anderson,2002-02-14,Florida Atlantic,YAMP_011756fbdfeb
00-0012324,OgleAl20,Alfred Oglesby,alfred oglesby,1967-01-27,Houston,YAMP_0118509a24ac
,GentEr01,Eric Gentry,eric gentry,,USC,YAMP_011919625f63
,JohnMu00,Mustafa Johnson,mustafa johnson,,Colorado,YAMP_011946938e59
00-0028374,NelsKy00,Kyle Nelson,kyle nelson,1986-10-03,New Mexico State,YAMP_011ac1c84c7d
00-0034796,JackLa00,Lamar Jackson,lamar jackson,1997-01-07,Louisville,YAMP_011cbb78269d
00-0003940,DaviAn21,Andre Davis,andre davis,1975-10-07,Southern,YAMP_011f0711638f
00-0022997,FrazAn20,Andre Frazier,andre frazier,1982-06-29,Cincinnati,YAMP_011f10c8fb71
HIC672367,HickSy20,Sylvester Hicks,sylvester hicks,1955-04-02,Tennessee State,YAMP_01215cc3cedf
00-0023604,EmanBe20,Ben Emanuel,ben emanuel,1982-06-18,UCLA,YAMP_0123357a0461
,,Jim Zidd,jim zidd,,Kansas,YAMP_0126a64f2f7d
,,Shawn Mills,shawn mills,,Southern Miss,YAMP_012758a6da2d
00-0034876,EzeaCh00,Christopher Ezeala,christopher ezeala,1995-09-19,,YAMP_012ac5651bae
00-0021689,GessCh00,Chas Gessner,chas gessner,1981-08-17,Brown,YAMP_012dacccabfc
00-0038990,,Ayinde Eley,ayinde eley,1998-10-22,Georgia Tech; Maryland,YAMP_012e47e2336e
00-0021292,WaltTy20,Tyson Walter,tyson walter,1978-03-17,Ohio State,YAMP_012f97cd794b
00-0025426,BlalJu20,Justin Blalock,justin blalock,1983-12-20,Texas,YAMP_013045c5a010
SOW553722,SoweRi20,Rich Sowells,rich sowells,1948-10-27,Alcorn State,YAMP_01309291c8f4
00-0028101,KilgDa00,Daniel Kilgore,daniel kilgore,1987-12-18,Appalachian State,YAMP_0130e8be2d84
PRI051910,PricAr20,Art Price,art price,1962-05-17,Wisconsin,YAMP_0137613cf9e5
00-0032064,SmelDe00,DeAndre Smelter,deandre smelter,1991-12-03,Georgia Tech,YAMP_0137fd6935fc
SUL791020,SullIv20,Ivory Sully,ivory sully,1957-06-20,Delaware,YAMP_013923a8124a
00-0016732,TurnOd00,Odessa Turner,odessa turner,1964-10-12,Northwestern State (LA),YAMP_014223d10dca
00-0022737,kaedinat01,Nate Kaeding,nate kaeding,1982-03-26,Iowa,YAMP_014558a1fc87
,,Tim Reyer,tim reyer,,Kansas State,YAMP_0145a9297529
REA498348,RearKe20,Kerry Reardon,kerry reardon,1949-05-06,Iowa,YAMP_01483537ac82
00-0026440,,Theo Horrocks,theo horrocks,1985-12-19,Vanderbilt,YAMP_0149284baad7
00-0032722,MuirBl00,Blake Muir,blake muir,1991-05-10,Baylor; Hawaii,YAMP_0149b10156a2
00-0012205,NottDe20,Dexter Nottage,dexter nottage,1970-11-14,Florida A&M,YAMP_014a26e88c9d
OTT553720,OttoJi00,Jim Otto,jim otto,1938-01-05,Miami,YAMP_014b5132134f
00-0038563,TuckTr00,Tre Tucker,tre tucker,2001-03-08,Cincinnati,YAMP_014ba51a97c5
VAU332232,VaugRu20,Ruben Vaughan,ruben vaughan,1956-08-05,Colorado,YAMP_014c7e8b5a41
EST369146,,Jeff Esters,jeff esters,1969-07-06,Pittsburgh,YAMP_014d3a73e8fd
00-0013222,PricDe20,Dennis Price,dennis price,1965-06-14,UCLA,YAMP_014e38ed1419
00-0033613,SummJa00,James Summers,james summers,1994-06-12,East Carolina,YAMP_014fb36c23fa
00-0010634,McAlCh00,Chris McAlister,chris mcalister,1977-06-14,Arizona; Mt. San Antonio,YAMP_0151a20d514e
ROY606086,,Joe Royer,joe royer,2002-02-25,Cincinnati; Ohio State,YAMP_01520d378405
00-0006777,HankKa00,Karl Hankton,karl hankton,1970-07-24,Trinity Christian College; LSU; Valley Forge Christian College,YAMP_0153be7b976b
,,Janzen Jackson,janzen jackson,,McNeese State,YAMP_0154207e59af
STA285936,StalJo00,John Stallworth,john stallworth,1952-07-15,Alabama A&M,YAMP_01548660ede7
,,Ervin Collier,ervin collier,,Florida A&M,YAMP_015598da9118
COO618080,coopejoe01,Joe Cooper,joe cooper,1960-10-30,California,YAMP_01559ef717e8
00-0021927,TyreDa00,David Tyree,david tyree,1980-01-03,Syracuse,YAMP_0155a8870467
BER302020,BernRo21,Roger Bernhardt,roger bernhardt,1949-10-14,Kansas; Butler County JC,YAMP_01578cb5598b
00-0009561,LakeCa00,Carnell Lake,carnell lake,1967-07-15,UCLA,YAMP_015c7d49bc9e
00-0038437,MutiDo00,Donavan Mutin,donavan mutin,2000-09-22,Houston,YAMP_015df5c688d4
00-0007795,HowaCh00,Chris Howard,chris howard,1975-05-02,Michigan,YAMP_01609375bc2a
WAL710754,WaltSt00,Stan Walters,stan walters,1948-05-27,Syracuse,YAMP_0160c22e6c60
CUM664464,CummMa20,Mack Cummings,mack cummings,1959-03-03,East Tennessee State,YAMP_016182b131c6
ROG577792,RogeSt21,Steve Rogers,steve rogers,1959-01-09,BYU; Oregon State; Palomar College,YAMP_01671fa2cea5
,,David Porter,david porter,,Iowa,YAMP_016876d4a5db
,VohaRa00,Raymond Vohasek,raymond vohasek,,North Carolina,YAMP_016a0e9c7fc8
00-0038841,WhitNi02,Nick Whiteside,nick whiteside,2000-05-01,Saginaw Valley State,YAMP_016b36a1cd1c
LEW588302,LewiRe21,Reggie Lewis,reggie lewis,1956-05-06,North Texas,YAMP_016bdbd8e202
MIL205575,,Danny Miller,danny miller,1960-12-30,Miami,YAMP_016de420f026
SHA774192,ShawRo20,Robert Shaw,robert shaw,1956-10-15,Tennessee,YAMP_016e4f841461
00-0033358,,Izaah Lunsford,izaah lunsford,1993-10-21,Bowling Green,YAMP_016ee1021781
00-0033555,HollMa00,Mack Hollins,mack hollins,1993-09-16,North Carolina,YAMP_01728d7a4a85
,,Shoun Habersham,shoun habersham,,Chattanooga,YAMP_0174031c501c
00-0006285,GrayOs20,Oscar Gray,oscar gray,1972-09-25,Arkansas,YAMP_0174d088718f
00-0013041,PlumGa20,Gary Plummer,gary plummer,1960-01-26,California,YAMP_017622110b06
KIN437929,KingEm20,Emanuel King,emanuel king,1963-08-15,Alabama,YAMP_017d6928a8a5
GUM487168,GumbGe00,George Gumbs Jr.,george gumbs,2002-10-25,Florida; Northern Illinois,YAMP_017f81cac875
00-0016711,TurnFl00,Floyd Turner,floyd turner,1966-05-29,Northwestern State (LA),YAMP_018003aa3c71
MOO011535,MoodKe20,Keith Moody,keith moody,1953-06-13,Syracuse,YAMP_018034293e59
00-0025986,BurgRu00,Rudy Burgess,rudy burgess,1984-09-19,Arizona State,YAMP_0181b65457e4
00-0034979,MarsIm00,Iman Marshall,iman marshall,1997-02-27,USC,YAMP_01842e28a704
00-0032567,FabiAn00,Anthony Fabiano,anthony fabiano,1993-07-13,Harvard,YAMP_01849ef009e5
00-0022521,BakeRa21,Rashad Baker,rashad baker,1982-02-22,Tennessee,YAMP_018596bb15fe
VAN404064,VandSk20,Skip Vanderbundt,skip vanderbundt,1946-12-04,Oregon State,YAMP_0194f8d5bcdc
00-0002166,BuchRa00,Ray Buchanan,ray buchanan,1971-09-29,Louisville,YAMP_019671db9cae
MCI498348,McInJo20,Joe McIntosh,joe mcintosh,1962-12-09,N.C. State,YAMP_0198ef25687c
00-0015309,,Tarik Smith,tarik smith,1975-04-16,California,YAMP_019996da6c8a
,,Azizuddin Abdur-Ra'oof,azizuddin abdur-ra'oof,,Maryland,YAMP_019c2b028085
00-0024054,PerrJe20,Jereme Perry,jereme perry,1981-12-15,Eastern Michigan,YAMP_019e8c2b37ae
ZUH415291,ZuhnTr01,Trey Zuhn III,trey zuhn,2002-10-12,Texas A&M,YAMP_019fb8c27259
DAV037410,DaviSt20,Stan David,stan david,1962-02-17,Texas Tech,YAMP_01a05778cf04
00-0015334,SmitVe20,Vernice Smith,vernice smith,1965-10-24,Florida A&M,YAMP_01a52a08ab24
BAR244695,BarnBe20,Benny Barnes,benny barnes,1951-03-03,Stanford,YAMP_01a622b6f6de
00-0027782,TracAd99,Adrian Tracy,adrian tracy,1987-04-06,William & Mary,YAMP_01a87abd1535
THA519110,ThaxJi00,Jim Thaxton,jim thaxton,1949-01-11,Tennessee State,YAMP_01a8b958582d
00-0029525,TaylBr02,Brandon Taylor,brandon taylor,1990-01-29,LSU,YAMP_01ad9dbc50ca
00-0031526,VargTy00,Tyler Varga,tyler varga,1993-09-24,Yale; Western Ontario,YAMP_01afae8d3b39
MCC373725,McClBi20,Bill McClard,bill mcclard,1949-10-15,Arkansas,YAMP_01b1ce5b303b
00-0023539,DaniTr20,Travis Daniels,travis daniels,1982-09-08,LSU,YAMP_01b2d833cfea
00-0003583,CoxxRo20,Ron Cox,ron cox,1968-02-27,Fresno State,YAMP_01b304c0806f
00-0011300,MillNa20,Nate Miller,nate miller,1971-10-08,LSU,YAMP_01b34d4714cd
,,Terry Daniels,terry daniels,,Tennessee,YAMP_01b3a3a2770f
00-0026019,WoodDa02,Danny Woodhead,danny woodhead,1985-01-25,Chadron State,YAMP_01b624d35682
YOU451701,YounRa21,Randy Young,randy young,1954-07-04,Iowa State,YAMP_01b917b29793
00-0023497,McFaBr20,Bryant McFadden,bryant mcfadden,1981-11-21,Florida State,YAMP_01b96138bbeb
00-0005598,FrieMi20,Mike Frier,mike frier,1969-03-20,Appalachian State,YAMP_01ba1ab2ad47
00-0023964,,Timi Wusu,timi wusu,1983-06-10,Stanford,YAMP_01c5e0480368
00-0019600,LewiMi00,Michael L. Lewis,michael l. lewis,1971-11-14,,YAMP_01c908bd8860
NEW535860,NewsTo20,Tony Newsom,tony newsom,1965-07-20,Stephen F. Austin State,YAMP_01c9dee29eec
00-0032218,GreeDo00,Dorial Green-Beckham,dorial green-beckham,1993-04-12,Oklahoma; Missouri,YAMP_01ca20994aec
00-0029033,WhalGr00,Griff Whalen,griff whalen,1990-03-01,Stanford,YAMP_01ce45b720d9
BAR326260,BarnLa00,Larry Barnes,larry barnes,1954-07-17,Tennessee State,YAMP_01d31ffd547d
00-0028279,HallBr00,Bryan Hall,bryan hall,1988-09-12,Arkansas State,YAMP_01d3e9a1865e
00-0004751,EdwaBr20,Brad Edwards,brad edwards,1966-03-22,South Carolina,YAMP_01d74f5be9a3
00-0023039,ThomDo01,Dominique Thompson,dominique thompson,1982-12-28,William & Mary,YAMP_01d843ceb00a
,DaviJC01,J.C. Davis,j.c. davis,,Illinois,YAMP_01d9c7a6e2bd
00-0036401,BradSh00,Shaun Bradley,shaun bradley,1997-04-08,Temple,YAMP_01de2df9f228
00-0033702,KooxYo00,Younghoe Koo,younghoe koo,1994-08-03,Georgia Southern,YAMP_01e4bb23f4c5
00-0035255,ShefKe00,Kendall Sheffield,kendall sheffield,1996-05-30,Ohio State; Blinn College; Alabama,YAMP_01e763ea1d72
GEI553722,GeilCh20,Chris Geile,chris geile,1964-04-14,Eastern Illinois; Chabot College,YAMP_01e917ee722a
00-0028662,ButlMa00,Mario Butler,mario butler,1988-10-20,Georgia Tech,YAMP_01ed4b94fde8
00-0033588,RochIs00,Isaac Rochell,isaac rochell,1995-04-22,Notre Dame,YAMP_01f6b4026415
00-0026722,OrtoGr00,Greg Orton,greg orton,1986-12-17,Purdue,YAMP_01f82b10c734
00-0030912,FoxxDa00,Dan Fox,dan fox,1991-03-17,Notre Dame,YAMP_01fbc33f219f
00-0002792,CashKe00,Keith Cash,keith cash,1969-08-07,Texas,YAMP_01fcd5ee1bea
00-0034355,StewM.00,M.J. Stewart,m.j. stewart,1995-09-16,North Carolina,YAMP_01fd014a5a63
GRI358644,GrifWa20,Wade Griffin,wade griffin,1954-08-07,Mississippi,YAMP_01fd17c265e5
,,Eddy Wilson,eddy wilson,,Purdue,YAMP_0204017b4a79
00-0028334,WallDa00,Darrin Walls,darrin walls,1988-06-20,Notre Dame,YAMP_02046d25d9ba
COY415290,CoylEr20,Eric Coyle,eric coyle,1963-10-26,Colorado,YAMP_020537fef042
00-0003155,CobbLy20,Lyron Cobbins,lyron cobbins,1974-09-17,Notre Dame,YAMP_02055d49e120
00-0019606,PinkTo00,Todd Pinkston,todd pinkston,1977-04-23,Southern Mississippi,YAMP_020ce3ede5c1
,PoweTy02,Tyreem Powell,tyreem powell,,Rutgers,YAMP_020da3ef3378
STO220350,StokEr20,Eric Stokes,eric stokes,1962-01-13,"Northeastern University, Mass",YAMP_020e491a41bf
00-0024438,,E.J. Whitley,e.j. whitley,1982-02-16,Texas Tech,YAMP_02133529820e
00-0024662,,Rueben Riley,rueben riley,1984-09-20,Michigan,YAMP_021417bd5d26
00-0022527,GreeJa22,Jabari Greer,jabari greer,1982-02-11,Tennessee,YAMP_0215ff82ea9e
00-0004470,DougHu00,Hugh Douglas,hugh douglas,1971-08-23,"Central State University, Oh",YAMP_0216e7aec19d
00-0037244,LloyDe00,Devin Lloyd,devin lloyd,1998-09-30,Utah,YAMP_021bed401493
00-0020391,CookJa00,Jameel Cook,jameel cook,1979-02-08,Illinois,YAMP_021fc86501b6
00-0008751,JoneGe00,George Jones,george jones,1973-12-31,San Diego State; Bakersfield College,YAMP_0220ff4cd155
00-0040647,MillRy02,Rylie Mills,rylie mills,2001-08-20,Notre Dame,YAMP_02236bd29e4b
HOL669384,HolmTo21,Tom Holmoe,tom holmoe,1960-03-07,BYU,YAMP_022a5a0d872f
,,Robert Geathers,robert geathers,,South Carolina St.,YAMP_022aef5844c1
00-0022785,StarMa21,Max Starks,max starks,1982-01-10,Florida,YAMP_022c66339781
HUL207644,HullMi00,Mike Hull,mike hull,1945-01-02,USC; Glendale Community College,YAMP_0235d7a8c8d4
00-0032820,SmitTe04,Terrance Smith,terrance smith,1993-05-03,Florida State,YAMP_02366976c387
SMI634367,SmitRi00,Rico Smith,rico smith,1969-01-14,Colorado; Cerritos College,YAMP_0237d1b76a6a
PHI575010,PhilRa21,Ray Phillips,ray phillips,1964-07-24,N.C. State,YAMP_023d4908c9a8
00-0032050,MoorCo00,Corey Moore,corey moore,1993-01-28,Georgia,YAMP_023e686c332b
,,Gregg Harris,gregg harris,,Wake Forest,YAMP_0242dd675695
